Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,BRA,Lending interest rate (%),FR.INR.LEND,,,,78.19333333,86.36333333,80.44333333,56.83,57.61666667,62.875,67.08333333,54.925,55.38333333,50.80833333,43.71666667,47.25,44.65,39.99166667,43.88333333,36.63666667,27.39166667,32.00833333,43.95833333,
Barbados,BRB,Lending interest rate (%),FR.INR.LEND,9.083333333,10,10,9.833333333,9.75,9.395833333,10.1875,9.583333333,8.5,8.5,8.333333333,9.166666667,10.29166667,10.75833333,10.03333333,9.204166667,8.7,8.7,8.7,8.7,8.383333333,8.058333333,
Brunei Darussalam,BRN,Lending interest rate (%),FR.INR.LEND,,,,,6.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,
Bhutan,BTN,Lending interest rate (%),FR.INR.LEND,16,16,16,16,16,16,16,15.75,15.25,15,15,14,14,14,13.75,13.75,14,14,14,14,14.15,13.75,
Botswana,BWA,Lending interest rate (%),FR.INR.LEND,13.91666667,14.41666667,14.5,13.94666667,13.65083333,14.77583333,15.47916667,15.75,16.20833333,16.4,15.75,15.7375,16.45833333,16.215,16.54166667,13.755625,11.45833333,11,11,10.18923333,9,7.95,
Central African Republic,CAF,Lending interest rate (%),FR.INR.LEND,17.5,16,22,22,22,22,22,20.66666667,18,18,18,17.66666667,15.33333333,15,,,,,,,,,
Canada,CAN,Lending interest rate (%),FR.INR.LEND,6.875,8.645833333,6.0625,4.958333333,6.604166667,6.4375,7.270833333,5.8125,4.208333333,4.6875,4,4.416666667,5.8125,6.104166667,4.729166667,2.395833333,2.604166667,3,3,3,3,2.775,
Central Europe and the Baltics,CEB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Lending interest rate (%),FR.INR.LEND,5.505,5.4775,4.973333333,4.465833333,4.066666667,3.9,4.285,4.301666667,3.931666667,3.269166667,3.195,3.119166667,3.031666667,3.15,3.3425,2.750833333,2.733333333,2.718333333,2.688333333,2.689166667,2.69,2.680833333,
Channel Islands,CHI,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Lending interest rate (%),FR.INR.LEND,20.33965218,18.1595559,17.36785673,15.6702654,20.16950114,12.62315184,14.84339123,11.89100986,7.758072897,6.178778731,5.127003628,6.67787901,7.999482079,8.671258486,13.26177137,7.250634769,4.754826805,9.030152523,10.05726244,9.261876782,8.098058248,5.514927323,
China,CHN,Lending interest rate (%),FR.INR.LEND,10.98,12.06,10.08,8.64,6.39,5.85,5.85,5.85,5.31,5.31,5.58,5.58,6.12,7.47,5.31,5.31,5.81,6.56,6,6,5.6,4.35,
Cote d'Ivoire,CIV,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Lending interest rate (%),FR.INR.LEND,17.5,16,22,22,22,22,22,20.66666667,18,18,18,17.66666667,15.33333333,15,,,,,,,,,
"Congo, Rep.",COG,Lending interest rate (%),FR.INR.LEND,17.5,16,22,22,22,22,22,20.66666667,18,18,18,17.66666667,15.33333333,15,,,,,,,,,
Colombia,COL,Lending interest rate (%),FR.INR.LEND,40.465,42.7175,41.9925,34.22416667,42.23916667,25.7688624,18.78666667,20.72,16.32679833,15.18710115,15.08305672,14.56083333,12.89391308,15.3818501,17.17562314,13.0080746,9.381489937,11.21991845,12.5850402,10.98558617,10.86733504,11.44998726,
Comoros,COM,Lending interest rate (%),FR.INR.LEND,,,,,,13.66666667,12,12,12,11.83333333,11,11,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,
Cabo Verde,CPV,Lending interest rate (%),FR.INR.LEND,10.66666667,12,12,12.05583333,12.51416667,12.03133333,11.93816667,12.84916667,13.17333333,12.73166667,12.69,12.28947917,9.855125,10.55104815,9.989013523,10.97664503,11.03989876,9.810803815,9.900358847,10.52009902,10.89375653,10.40582256,
Costa Rica,CRI,Lending interest rate (%),FR.INR.LEND,33.02583333,36.695,26.27416667,22.47666667,22.47333333,25.737,24.88916667,23.83276944,26.41666667,25.58333333,23.42555556,24.65583333,22.18833333,12.79833333,15.8275,19.72333333,17.09083333,16.14583333,18.2125,15.18833333,14.90305556,14.23333333,
Caribbean small states,CSS,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Lending interest rate (%),FR.INR.LEND,8.833333333,8.5,8.5,8.083333333,8,8,8,7.52,7.150833333,6.9475,7.573333333,7.0925,6.694166667,6.740833333,,,,,,,,,
Czech Republic,CZE,Lending interest rate (%),FR.INR.LEND,13.11833333,12.79916667,12.54416667,13.20416667,12.80716667,8.684166667,7.16225,7.196416667,6.724166667,5.949166667,6.0275,5.776666667,5.593666022,5.788379584,6.251708333,5.989958333,5.887833333,5.717833333,5.406723237,4.969893014,4.644905464,4.282533329,
Germany,DEU,Lending interest rate (%),FR.INR.LEND,11.47583333,10.94416667,10.0175,9.129166667,9.015,8.809166667,9.63,10.00916667,9.6975,,,,,,,,,,,,,,
Djibouti,DJI,Lending interest rate (%),FR.INR.LEND,,,11.425,10.725,11.275,11.45,11.9375,11.24625,11.285,11.5725,11.3625,11.36375,11.625,10.9375,11.38375,11.445,10.443,11.48875,11.98875,11.93625,12.69,,
Dominica,DMA,Lending interest rate (%),FR.INR.LEND,11.61049132,11.50074364,11.43033253,11.17305971,11.27256005,11.39567307,11.68080053,11.1397495,10.97289572,11.50070494,8.941440932,9.918175905,9.502401222,9.168012472,9.064046388,10.01929406,9.455013989,8.840379655,9.042981869,9.073960019,8.936633142,8.6675,
Denmark,DNK,Lending interest rate (%),FR.INR.LEND,9.95,10.325,8.7,7.725,7.9,7.125,8.075,8.2,7.1,,,,,,,,,,,,,,
Dominican Republic,DOM,Lending interest rate (%),FR.INR.LEND,28.68,30.6825,23.73416667,21.00666667,25.6425,25.045,26.79916667,24.26333333,26.055,31.39166667,32.63416667,24.10916667,19.475,15.82666667,19.945,18.13583333,12.13666667,15.55,15.4825,13.59140054,13.9025,14.87666667,
Algeria,DZA,Lending interest rate (%),FR.INR.LEND,16,18.41666667,19,15.70833333,11.5,10.75,10,9.5,8.583333333,8.125,8,8,8,8,8,8,8,8,8,8,8,8,
East Asia & Pacific (excluding high income),EAP,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Lending interest rate (%),FR.INR.LEND,43.99416667,55.67416667,54.5025,43.02416667,49.54833333,17.41981118,17.11837062,16.23187313,15.81301235,13.63995789,9.95007834,9.619473637,9.806361807,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Lending interest rate (%),FR.INR.LEND,16.5125,16.47083333,15.58333333,13.79166667,13.01666667,12.965,13.21583333,13.29166667,13.79166667,13.53333333,13.375,13.14166667,12.6,12.50833333,12.325,11.975,11.00833325,11.03333333,12,12.29166667,11.70833333,11.625,
Euro area,EMU,Lending interest rate (%),FR.INR.LEND,,,8.8775,7.58,6.734166667,5.645833333,6.596666667,6.8275,6.135,,,,,,,,,,,,,,
Eritrea,ERI,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Lending interest rate (%),FR.INR.LEND,8.9475,10.04666667,8.496666667,6.0775,5.013333333,3.945,5.175833333,5.164166667,4.305833333,,,,,,,,,,,,,,
Estonia,EST,Lending interest rate (%),FR.INR.LEND,24.65416667,19.01333333,14.87416667,11.76083333,15.05833333,11.08583333,7.434354798,7.781666667,6.703996918,5.506273988,5.655272011,4.928485792,5.032191235,6.458545773,8.548630673,9.385771895,7.760177765,6.1170327,5.747075316,5.364483106,4.763612657,4.481133401,
Ethiopia,ETH,Lending interest rate (%),FR.INR.LEND,14.33333333,15.08333333,13.91666667,10.5,10.5,10.58166667,10.89166667,10.86516667,8.661,7,7,7,7,7.5,8,,,,,,,,
European Union,EUU,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Lending interest rate (%),FR.INR.LEND,7.913333333,7.749166667,6.156666667,5.293333333,5.349166667,4.708316667,5.606925,5.79005,4.820961737,4.13,3.688938592,,,,,,,,,,,,
Fiji,FJI,Lending interest rate (%),FR.INR.LEND,11.44166667,11.2375,11.13833333,11.02666667,9.636666667,8.765833333,8.3975,8.344166667,8.0525,7.602496948,7.169248741,6.779961,7.349962588,9.00558733,7.997269544,7.853416015,7.489647346,7.466058192,6.968052878,6.10473364,5.761124822,5.789299856,
France,FRA,Lending interest rate (%),FR.INR.LEND,7.891666667,8.116666667,6.766666667,6.341666667,6.55,6.358333333,6.7,6.975,6.6,6.6,6.6,,,,,,,,,,,,
Faroe Islands,FRO,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Lending interest rate (%),FR.INR.LEND,,15,15,15,15,15.165,15.33,15.33,15.275,15,15.375,16.375,15.615,14.02958333,14.37833333,15.38,15.13,14.35,14.32,14.825,15.83333333,15.93333333,
Gabon,GAB,Lending interest rate (%),FR.INR.LEND,17.5,16,22,22,22,22,22,20.66666667,18,18,18,17.66666667,15.33333333,15,,,,,,,,,
United Kingdom,GBR,Lending interest rate (%),FR.INR.LEND,5.462783333,6.693675,5.958533333,6.5634,7.23205,5.344408333,5.963891667,5.122375,4,3.695791667,4.379816667,4.648675,4.638258333,5.508708333,4.675308333,0.644866667,0.5,0.5,0.5,0.5,0.5,,
Georgia,GEO,Lending interest rate (%),FR.INR.LEND,,,58.44473846,49.7746049,35.75,29.66666667,24.66666667,22.26951893,23.57954919,23.755375,22.087125,17.55089167,17.06025833,17.08611667,18.04413333,17.86631667,15.845075,14.99516667,14.80845,13.5948916,11.90971177,12.48847546,
Ghana,GHA,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Lending interest rate (%),FR.INR.LEND,22,21.5,,,19.5625,19.875,19.375,,,,,,,,,,,,,,,,
"Gambia, The",GMB,Lending interest rate (%),FR.INR.LEND,25,25.04166667,25.5,25.5,25.375,24,24,24,24,29.33333333,36.5,34.91666667,29.75,27.91666667,27,27,27,28,28,28,28.5,,
Guinea-Bissau,GNB,Lending interest rate (%),FR.INR.LEND,36.33333333,32.91666667,51.75,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Lending interest rate (%),FR.INR.LEND,17.5,16,22,22,22,22,22,20.66666667,18,18,18,17.66666667,15.33333333,15,,,,,,,,,
Greece,GRC,Lending interest rate (%),FR.INR.LEND,27.44166667,23.05,20.95833333,18.91666667,18.55833333,15,12.31666667,8.585,7.413333333,6.785833333,,,,,,,,,,,,,
Grenada,GRD,Lending interest rate (%),FR.INR.LEND,11.02805327,11.07534586,9.991983755,11.23597899,11.73247743,11.62117323,11.59919756,10.18672119,11.30922858,12.04821516,10.18484238,10.06507926,9.852301654,9.755943172,9.52898493,10.99305348,10.57501309,10.68597901,9.725900007,9.270206825,9.185980402,8.96125,
Greenland,GRL,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Lending interest rate (%),FR.INR.LEND,22.93333333,21.15833333,22.71666667,18.6375,16.56416667,19.51166667,20.88166667,18.9575,16.86416667,14.97833333,13.81083333,13.03333333,12.7625,12.83666667,13.39166667,13.84916667,13.34166667,13.43,13.48666667,13.5975,13.77333333,13.2275,
