Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,BLZ,Real interest rate (%),FR.INR.RINR,10.7991745,9.062152409,14.05457477,18.03478647,14.7752258,18.93143112,15.47509405,15.71183483,12.85598298,17.71663108,11.62937115,11.27288878,9.313076916,9.049586259,11.10433318,17.71720638,12.59906214,8.770850719,10.20496447,9.404504822,9.165857367,9.558030243,
Bermuda,BMU,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Real interest rate (%),FR.INR.RINR,44.11315513,35.53009504,39.77986618,41.95160079,30.22905004,32.18152246,27.9483965,17.85309681,17.32305775,10.65860797,6.022332749,10.07566935,-1.559334019,5.110629359,3.163719152,15.1460393,1.041041337,-3.217177954,3.767190325,4.770029489,7.491199044,11.67578351,
Brazil,BRA,Real interest rate (%),FR.INR.RINR,,,,65.40905364,77.61726201,67.06270773,48.11291904,46.02271895,48.33999005,46.44668226,43.78053773,44.63499993,41.23826936,35.0255885,35.36621292,34.79152703,29.11648358,32.83419586,26.7290933,18.63033336,23.52796681,33.33192302,
Barbados,BRB,Real interest rate (%),FR.INR.RINR,6.690322758,6.7643663,7.340798552,8.784582896,0.94296526,4.723063684,11.7416416,7.116998959,7.562844944,7.252618531,2.36131332,2.411506025,5.556553552,6.633569232,9.339100893,4.642133395,12.83498221,11.69036742,10.13205197,9.512520439,6.746083397,6.762261178,
Brunei Darussalam,BRN,Real interest rate (%),FR.INR.RINR,,,,,20.54134773,-5.46084756,-18.22701237,11.74888397,5.106681071,-0.569825769,-8.962385242,-11.17010239,-4.132498999,4.331025065,-6.382603226,35.41511735,0.181618172,-12.33982262,5.551287132,8.934612598,-4.166095742,6.803851221,
Bhutan,BTN,Real interest rate (%),FR.INR.RINR,2.789503301,7.359871083,7.35161735,3.124496638,4.968226986,7.971952603,13.40727262,9.959208603,9.886214869,11.55834207,10.7996596,7.691502857,8.147905979,10.56082808,7.663693404,8.487022103,7.56187268,4.965450811,4.414021052,7.684930659,6.114831782,11.54139909,
Botswana,BWA,Real interest rate (%),FR.INR.RINR,4.067885118,6.776493721,-1.388480661,8.23043537,3.636072028,0.473255913,1.145825257,6.866384387,14.844701,12.7261594,5.151956567,0.230180572,8.360417366,10.76077592,11.27537452,6.85043719,2.330351095,-4.651281924,11.12526352,8.964470996,-1.843062491,5.266100146,
Central African Republic,CAF,Real interest rate (%),FR.INR.RINR,-5.556121912,5.552401946,26.48141065,21.00375526,22.50719551,17.21224623,12.43553543,20.15493073,20.86675475,16.44384273,23.48247734,11.85409558,11.47455345,12.88706702,,,,,,,,,
Canada,CAN,Real interest rate (%),FR.INR.RINR,5.326344419,6.244104961,4.243911479,3.773937875,6.796869373,4.448903715,2.807671061,4.086493276,2.927678762,1.386419109,0.696916966,1.23088609,3.117597709,2.695919665,0.696304001,4.800208834,-0.262355298,-0.234448747,1.757286718,1.42391913,1.222043739,3.34656502,
Central Europe and the Baltics,CEB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
